tweet_preprocessed;label
bang doel terbaikkoe;positif
ngantuk  pak hahaha sama;negatif
hadeuh kang;negatif
sok kang;netral
halaaaaah;negatif
gimanasih kang;negatif
janji suci  warga jakarta;netral
gimanasi konsep kang;negatif
adem banget liat debat cagub cawagub dki;positif
sedang langsung debat cagub dki jakarta link live streaming;netral
visi misi lengkap cagub dki jakarta baca   nonton debat;negatif
balaikota  buka   warga;negatif
mas pram bang doel siap debat;netral
ridwan kamil tanya  cagub nomor urut kait pandemi covid  debat perdana pilgub jakarta dharma pongrekun jawab tanya  rk sebut;netral
gak dateng  debat perdana pilgub jakarta anies asik nonton konser john legend nih bareng keluarga;netral
ridwan kamil proposes demokrasi pimpin as a model for governing jakarta;netral
kunkaga nyambung jawab luridwan kamil mah demen ngadepin kaya giniwkwkwk;positif
nyata  ungkap  debat perdana pilkada jakarta  mayor minggu malam;positif
kata dharma  macet  debat pilkada jakarta baik manajemen pasti aman  kelompok prioritas perlu tanam budaya antri urai macet  mikrotrans  hubung;positif
gw kok ngeri bgt  sama program ridwan kamil yg soal m per rw gak bayang korupsi;negatif
weh gak nyangka pak pramono sepinter  nyata tau fakta  pasal;positif
baru opening aja udh ngakak krn cawagub no cuma bagi waktu detik  cagubnye jd gak sempet selesein pantun;negatif
paslon  kaya baca teks eui memang public speaking pentung ga becanda;negatif
moga siapa  pilih  kurang stunting  jakarta ;netral
perhati rute tuju lokasi debat cagub jakarta;netral
batas audiens masingmasing pasang calon banyak orang  tempat batas debat publik pertama jadwal  oktober;positif
dukung terus kondomokurita  papua selatan  lebih maju  sejahtera;netral
debat dua cagub  pilkada jakarta bakal  gelar  oktober datang;positif
debat buka cagubcawagub jateng  segera gelar pasti kamu saksi  paham visi misi  calon tentu pilih  bijak;positif
debat buka cagubcawagub jateng  segera gelar waktu dengar visi misi calon  tentu pilih  tepat jangan lewat;positif
strategi tiga paslon cagub  cawagub jakarta atas macet river way hingga mrt  lrt gratis;positif
debat perdana pilgub jakarta  usai simak janjijanji ridwan kamil dharma pongrekun  pramono anung  masa depan jakarta siapa paling yakin baca lengkap;positif
debat calon gubernur jateng gelar tiga kali cek tanggal  sini klik  baca;positif
calon gubernur jakarta nomor urut pramono anung tegas tak  manfaat momen pilkada  maju  calon presiden pramono anung kata  konsentrasi  buat  baik  warga jakarta gimana  kamu;
anyhow walopun kang emil jelas dukung grup presiden tp yg gaya bicara  retorika teoritis ngawangnya mirip pak prabowo tuh malah cagub no alias pak dharma  emosional jg sempet tinggi nada suara  berapiapi  topik tentu;
baru aja td blg rispek sm kang emil eh closingnya enggak banget pake bawa hubung baik sm presiden  alir dana lancar gilak kuat bgt vibe ordal  bibit korupkolusi gak nyangka segitu insekyur smpe hrs sebut beking meh;
calon gubernur nomor urut ridwan kamil rk aku  baper  singgung kerja  pimpin jawa barat utama kait nyaman teman disabilitas;
anies sama keluarga saksi konser nyanyi  tulis lagu asal amerika serikat john legend tepat hari  rupa debat perdana pilgub dki jakarta anies  rencana hadir;
nyata tutup dharma pongrekun  pasti warga jakarta    nganggur perut kenyang semua sekolah usaha besar kecil dukung hapus pb umkm jadi tinggal;
ridwan kamil serta  wakil janji kait phk  gen z  jakarta   tambah  beri kopi gratis   gen z  jakarta;
rispek kang emil mau minta maap  ngaku gak perfect  suka tanya mas pram tajem  sopan;
ngomongin buka lapang kerja baru tp bikin presentasi pake ai;
gimana yakang;
aq lurus yamaksudnya dki kan sering impor air  bogorjd  kuasa ngk   impor air;
ahok unggul  jelas program sayang malah tampil serang;
anies memang unggul  debat sayang sandi sempat gagap;
debat pamungkas jadi bukti ahok  anies beda kualitas;
plt gubernur dki kalau  janji manis;
ibuibu copet  bandung tangkap kamera  festival citylink band via;
pesan bang ray  tanya debat cagub malam  via;
pesan bang ray  tanya debat cagub malam ;
debat pamungkas pilgub dki polda awas orangorang ;
so sweet  puji mas djarot  ira koesno;
soto bandoeng rasa pilkada ibukota;
tampak sama mirip  beda;
buat dukung paslon  berita nih;
kombaseko rt aniesbaswedan kalau urus ganteng bang sandiuno not bad lah;
kalau urus ganteng bang not bad lah;
