full_text;username;tweet_lower;tweet_no_url;tweet_no_mention_hashtag;tweet_no_punctuation;tweet_no_numbers;tweet_clean;tweet_tokenized;tweet_no_stopwords;tweet_stemmed;tweet_preprocessed
Bang Doel Terbaikkoe #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 #Jakartamenyala #MenyalaM3nang #RBRpramonorano #Jakarta #PramDoelMenang #Masprambangdoel #Pilkada #Pilkada2024 #DebatPilkadaJakarta #debatpublik #Pramonoanung https://t.co/8VPnsNq1Ir;narayasiregar;bang doel terbaikkoe #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 #jakartamenyala #menyalam3nang #rbrpramonorano #jakarta #pramdoelmenang #masprambangdoel #pilkada #pilkada2024 #debatpilkadajakarta #debatpublik #pramonoanung https://t.co/8vpnsnq1ir;bang doel terbaikkoe #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 #jakartamenyala #menyalam3nang #rbrpramonorano #jakarta #pramdoelmenang #masprambangdoel #pilkada #pilkada2024 #debatpilkadajakarta #debatpublik #pramonoanung ;bang doel terbaikkoe                   ;bang doel terbaikkoe                   ;bang doel terbaikkoe                   ;bang doel terbaikkoe;['bang', 'doel', 'terbaikkoe'];['bang', 'doel', 'terbaikkoe'];['bang', 'doel', 'terbaikkoe'];bang doel terbaikkoe
Ngantuk ya pak? Hahaha sama. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/TTKdhkI24O;narayasiregar;ngantuk ya pak? hahaha sama. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/ttkdhki24o;ngantuk ya pak? hahaha sama. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;ngantuk ya pak? hahaha sama.        ;ngantuk ya pak hahaha sama        ;ngantuk ya pak hahaha sama        ;ngantuk ya pak hahaha sama;['ngantuk', 'ya', 'pak', 'hahaha', 'sama'];['ngantuk', '', 'pak', 'hahaha', 'sama'];['ngantuk', '', 'pak', 'hahaha', 'sama'];ngantuk  pak hahaha sama
Hadeuh kang.. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/qQDOEzUvGL;narayasiregar;hadeuh kang.. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/qqdoezuvgl;hadeuh kang.. #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;hadeuh kang..        ;hadeuh kang        ;hadeuh kang        ;hadeuh kang;['hadeuh', 'kang'];['hadeuh', 'kang'];['hadeuh', 'kang'];hadeuh kang
Sok kang #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/L5GElMAfVN;narayasiregar;sok kang #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/l5gelmafvn;sok kang #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;sok kang        ;sok kang        ;sok kang        ;sok kang;['sok', 'kang'];['sok', 'kang'];['sok', 'kang'];sok kang
Halaaaaah... #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/2u2axooFoJ;MiminCantiQ;halaaaaah... #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/2u2axoofoj;halaaaaah... #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;halaaaaah...        ;halaaaaah        ;halaaaaah        ;halaaaaah;['halaaaaah'];['halaaaaah'];['halaaaaah'];halaaaaah
Gimanasih kang?? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/HLdcM8uN8B;MiminCantiQ;gimanasih kang?? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/hldcm8un8b;gimanasih kang?? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;gimanasih kang??        ;gimanasih kang        ;gimanasih kang        ;gimanasih kang;['gimanasih', 'kang'];['gimanasih', 'kang'];['gimanasih', 'kang'];gimanasih kang
Janji Suci Untuk Warga Jakarta #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/OQkuv5HyQE;MiminCantiQ;janji suci untuk warga jakarta #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/oqkuv5hyqe;janji suci untuk warga jakarta #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;janji suci untuk warga jakarta        ;janji suci untuk warga jakarta        ;janji suci untuk warga jakarta        ;janji suci untuk warga jakarta;['janji', 'suci', 'untuk', 'warga', 'jakarta'];['janji', 'suci', '', 'warga', 'jakarta'];['janji', 'suci', '', 'warga', 'jakarta'];janji suci  warga jakarta
Gimanasi konsepnya kang? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/HE8Yn6O4jV;MiminCantiQ;gimanasi konsepnya kang? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 https://t.co/he8yn6o4jv;gimanasi konsepnya kang? #pilkada2024 #livedebat #debat #debatcagubdki #pilkadajakarta #debatpilkada #debatpilkada2024 ;gimanasi konsepnya kang?        ;gimanasi konsepnya kang        ;gimanasi konsepnya kang        ;gimanasi konsepnya kang;['gimanasi', 'konsepnya', 'kang'];['gimanasi', 'konsepnya', 'kang'];['gimanasi', 'konsep', 'kang'];gimanasi konsep kang
Adem banget liat debat cagub cawagub DKI #debatcagubdki;Meidi23;adem banget liat debat cagub cawagub dki #debatcagubdki;adem banget liat debat cagub cawagub dki #debatcagubdki;adem banget liat debat cagub cawagub dki ;adem banget liat debat cagub cawagub dki ;adem banget liat debat cagub cawagub dki ;adem banget liat debat cagub cawagub dki;['adem', 'banget', 'liat', 'debat', 'cagub', 'cawagub', 'dki'];['adem', 'banget', 'liat', 'debat', 'cagub', 'cawagub', 'dki'];['adem', 'banget', 'liat', 'debat', 'cagub', 'cawagub', 'dki'];adem banget liat debat cagub cawagub dki
sedang berlangsung debat cagub DKI Jakarta https://t.co/vOQeS6F60E link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung https://t.co/6DW0vGdEI6;edorusia;sedang berlangsung debat cagub dki jakarta https://t.co/voqes6f60e link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung https://t.co/6dw0vgdei6;sedang berlangsung debat cagub dki jakarta  link live streaming #debatedrama #debatenight #debatcagubdki #jakarta #dharmapongrekun #ridwankamil #pramonoanung ;sedang berlangsung debat cagub dki jakarta  link live streaming        ;sedang berlangsung debat cagub dki jakarta  link live streaming        ;sedang berlangsung debat cagub dki jakarta  link live streaming        ;sedang berlangsung debat cagub dki jakarta  link live streaming;['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming'];['sedang', 'berlangsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming'];['sedang', 'langsung', 'debat', 'cagub', 'dki', 'jakarta', 'link', 'live', 'streaming'];sedang langsung debat cagub dki jakarta link live streaming
