tweet_preprocessed,label
bang doel terbaikkoe,0
ngantuk hahaha,0
hadeuh kang,0
sok kang,0
halaaaaah,0
gimanasih kang,0
janji suci warga jakarta,0
gimanasi konsep kang,0
adem banget liat debat cagub cawagub dki,0
debat cagub dki jakarta link live streaming,0
debat cagub dki jakarta link live streaming,0
debat cagub dki jakarta link live streaming,0
debat cagub dki jakarta link live streaming,0
debat cagub dki jakarta link live streaming,0
visi misi lengkap cagub dki jakarta baca nonton debat,0
balaikota buka warga,0
mas pram bang doel debat,0
visi misi lengkap cagub dki jakarta baca nonton debat,0
ridwan kamil cagub nomor urut kait pandemi covid debat perdana pilgub jakarta dharma pongrekun rk,0
gak dateng debat perdana pilgub jakarta anies nonton konser john legend nih bareng keluarga,0
ridwan kamil proposes demokrasi pimpin as a model for governing jakarta,0
kunkaga nyambung luridwan kamil mah demen ngadepin kaya giniwkwkwk,0
nyata debat perdana pilkada jakarta mayor minggu malam,0
dharma macet debat pilkada jakarta baik manajemen pasti aman kelompok prioritas tanam budaya antri urai macet mikrotrans hubung,0
ngeri program ridwan kamil m gak bayang korupsi,0
weh gak nyangka pramono sepinter tau fakta pasal,0
opening ngakak cawagub no bagi detik cagubnye gak sempet selesein pantun,0
paslon kaya baca teks eui public speaking pentung ga becanda,0
moga pilih kurang stunting jakarta,0
perhati rute lokasi debat cagub jakarta,0
batas audiens masingmasing pasang calon orang tempat batas debat publik jadwal oktober,0
dukung kondomokurita papua selatan maju sejahtera,0
debat cagub pilkada jakarta gelar oktober,0
debat buka cagubcawagub jateng gelar pasti saksi paham visi misi calon tentu pilih bijak,0
debat buka cagubcawagub jateng gelar dengar visi misi calon tentu pilih lewat,0
strategi paslon cagub cawagub jakarta atas macet river way mrt lrt gratis,0
debat perdana pilgub jakarta simak janjijanji ridwan kamil dharma pongrekun pramono anung jakarta baca lengkap,0
debat calon gubernur jateng gelar kali cek tanggal klik baca,0
calon gubernur jakarta nomor urut pramono anung manfaat momen pilkada maju calon presiden pramono anung konsentrasi buat baik warga jakarta gimana,0
anyhow walopun kang emil dukung grup presiden gaya bicara retorika teoritis ngawangnya prabowo tuh cagub no alias dharma emosional jg sempet nada suara berapiapi topik,0
rispek kang emil eh closingnya banget pake bawa hubung presiden alir dana lancar gilak kuat vibe ordal bibit korupkolusi gak nyangka segitu insekyur smpe beking meh,0
calon gubernur nomor urut ridwan kamil rk aku baper singgung kerja pimpin jawa barat kait nyaman teman disabilitas,0
anies keluarga saksi konser nyanyi tulis lagu amerika serikat john legend tepat debat perdana pilgub dki jakarta anies rencana hadir,0
nyata tutup dharma pongrekun pasti warga jakarta nganggur perut kenyang sekolah usaha dukung hapus pb umkm tinggal,0
ridwan kamil serta wakil janji kait phk gen jakarta kopi gratis gen jakarta,0
rispek kang emil ngaku gak perfect suka mas pram tajem sopan,0
ngomongin buka lapang kerja bikin presentasi pake ai,0
gimana yakang,0
lurus yamaksudnya dki impor air bogorjd kuasa ngk impor air,0
ahok unggul program sayang tampil serang,0
anies unggul debat sayang sandi gagap,0
debat pamungkas bukti ahok anies beda kualitas,0
debat pamungkas bukti ahok anies beda kualitas,0
debat pamungkas bukti ahok anies beda kualitas,0
debat pamungkas bukti ahok anies beda kualitas,0
debat pamungkas bukti ahok anies beda kualitas,0
debat pamungkas bukti ahok anies beda kualitas,0
debat pamungkas bukti ahok anies beda kualitas,0
plt gubernur dki janji manis,0
ibuibu copet bandung tangkap kamera festival citylink band via,0
pesan bang ray debat cagub malam via,0
pesan bang ray debat cagub malam,0
debat pamungkas pilgub dki polda awas orangorang,0
so sweet puji mas djarot ira koesno,0
soto bandoeng pilkada ibukota,0
beda,0
dukung paslon berita nih,0
kombaseko aniesbaswedan urus bang sandiuno not bad,0
kombaseko aniesbaswedan urus bang sandiuno not bad,0
kombaseko aniesbaswedan urus bang sandiuno not bad,0
urus bang not bad,0
urus bang not bad,0
debat tiga ajang ahok anies gerus suara agus,0
kerjaasuno aniesbaswedan urus bang sandiuno not bad,0
kerjaasuno aniesbaswedan urus bang sandiuno not bad,0
hmadfauzanaulia aniesbaswedan urus bang sandiuno not bad,0
hmadfauzanaulia aniesbaswedan urus bang sandiuno not bad,0
kerjaasuno aniesbaswedan urus bang sandiuno not bad,0
program ahokdjarot bagus paslon,0
gregetan debat djarot cubitcubit ahok,0
anies anak putus sekolah ahok,0
pdip debat ahokdjarot tampil program bumi via,0
bahas reklamasi debat ahok vs anies sengit,0
hasto yakin publik kualitas ahokdjarot,0
anies please bohong rakyat reklamasi,0
ahok nuwun sewu anies,0
sikap ira koesno bikin dukung paslon dadak ciut,0
ahok maaf huni rusun jatinegara,0
anis baswedan saking banget gubernur dki lucu banget debat final cagub dki,0
sumarno mahal pilkada dki terciderai,0
anis ahok bumerang lucu banget,0
anis baswedan lucu banget debat cagub dki mengadaada banget hahaha,0
lahir bathin usaha senyum ramah rona hati pantul mata wajah,0
baik dengar  pic,0
ahok jamin transparansi anggar apbd dki,0
sandiaga terima kasih djarot,0
salah paslon bek ngabe bungut omong kosong,0
